name,time
ball,00:00:14.4
ball,00:00:18.4
ball,00:00:27.5
zem,00:00:30.0
ball,00:00:46.3
ball,00:00:48.4
ball,00:01:03.4
car,00:01:43.7
car,00:01:49.6
car,00:01:58.3
manu,00:02:01.1
manu,00:02:04.2
manu,00:02:06.7
manu,00:02:17.6
tima,00:02:22.3
tima,00:02:24.3
tima,00:02:26.6
tima,00:02:34.6
tima,00:03:07.9
brush,00:03:10.2
brush,00:03:11.7
brush,00:03:15.8
brush,00:03:23.6
brush,00:03:28.3
tima,00:03:29.7
tima,00:03:33.3
brush,00:03:34.0
brush,00:04:34.1
tima,00:04:34.8
tima,00:05:09.0
tima,00:05:11.2
tima,00:08:17.4
tima,00:08:21.4
tima,00:08:29.2
brush,00:08:29.5
truck,00:08:51.4
truck,00:08:55.3
manu,00:08:57.0
manu,00:09:00.0
manu,00:09:19.0
manu,00:09:35.7
tima,00:09:37.1
manu,00:09:40.4
tima,00:09:41.1
brush,00:10:08.4
zem,00:10:40.8
zem,00:10:51.4
zem,00:11:27.0
zem,00:11:28.1
zem,00:11:29.0
zem,00:11:31.3
